ano;sigla_uf;cnae_2;descricao_cnae;grupo;tratado;total_vinculos_ativos;massa_salarial;post;salario_medio
2019;AC;17427;Fabricação de produtos de papel para usos doméstico e higiênico-sanitário;controle;FALSE;0;0,0000000000;FALSE;NA
2019;AC;17494;Fabricação de produtos de pastas celulósicas, papel, cartolina, papel-cartão e papelão ondulado não especificados anteriormente;controle;FALSE;0;0,0000000000;FALSE;NA
2019;AC;22129;Reforma de pneumáticos usados;controle;FALSE;58;130279,7300000000;FALSE;2,24620224137931e+03
2019;AC;22196;Fabricação de artefatos de borracha não especificados anteriormente;controle;FALSE;13;16633,0200000000;FALSE;1,27946307692308e+03
2019;AC;22226;Fabricação de embalagens de material plástico;controle;FALSE;94;138609,9800000000;FALSE;1,47457425531915e+03
2019;AC;22234;Fabricação de tubos e acessórios de material plástico para uso na construção;controle;FALSE;6;8162,1800000000;FALSE;1,36036333333333e+03
2019;AC;23117;Fabricação de vidro plano e de segurança;controle;FALSE;39;61406,6200000000;FALSE;1,57452871794872e+03
2019;AC;23192;Fabricação de artigos de vidro;controle;FALSE;3;3855,5300000000;FALSE;1,28517666666667e+03
2019;AC;23303;Fabricação de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes;controle;FALSE;258;304425,5700000000;FALSE;1,17994406976744e+03
2019;AC;23419;Fabricação de produtos cerâmicos refratários;controle;FALSE;25;30845,4400000000;FALSE;1,23381760000000e+03
2019;AC;23427;Fabricação de produtos cerâmicos não refratários para uso estrutural na construção;controle;FALSE;451;537986,0300000001;FALSE;1,19287368070953e+03
2019;AC;23494;Fabricação de produtos cerâmicos não refratários não especificados anteriormente;controle;FALSE;0;0,0000000000;FALSE;NA
2019;AC;23915;Aparelhamento e outros trabalhos em pedras;controle;FALSE;45;41723,3100000000;FALSE;9,27184666666667e+02
2019;AC;23991;Fabricação de produtos de minerais não metálicos não especificados anteriormente;controle;FALSE;9;11397,9300000000;FALSE;1,26643666666667e+03
2019;AC;24512;Fundição de ferro e aço;sensibilidade;FALSE;3;4675,8300000000;FALSE;1,55861000000000e+03
2019;AC;25110;Fabricação de estruturas metálicas;controle;FALSE;38;64871,1800000000;FALSE;1,70713631578947e+03
2019;AC;25128;Fabricação de esquadrias de metal;controle;FALSE;11;7434,2900000000;FALSE;6,75844545454545e+02
2019;AC;25217;Fabricação de tanques, reservatórios metálicos e caldeiras para aquecimento central;controle;FALSE;11;16223,4800000000;FALSE;1,47486181818182e+03
2019;AC;25322;"Produção de artefatos estampados de metal; metalurgia do pó";controle;FALSE;7;10111,1300000000;FALSE;1,44444714285714e+03
2019;AC;25390;Serviços de usinagem, solda, tratamento e revestimento em metais;controle;FALSE;20;41765,8600000000;FALSE;2,08829300000000e+03
2019;AC;25411;Fabricação de artigos de cutelaria;controle;FALSE;0;0,0000000000;FALSE;NA
2019;AC;25420;Fabricação de artigos de serralheria, exceto esquadrias;controle;FALSE;10;18259,6800000000;FALSE;1,82596800000000e+03
2019;AC;25438;Fabricação de ferramentas;controle;FALSE;0;0,0000000000;FALSE;NA
2019;AC;25993;Fabricação de produtos de metal não especificados anteriormente;controle;FALSE;20;26295,9800000000;FALSE;1,31479900000000e+03
2019;AC;27597;Fabricação de aparelhos eletrodomésticos não especificados anteriormente;tratado_extensao;TRUE;0;0,0000000000;FALSE;NA
2019;AC;28232;Fabricação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial;controle;FALSE;5;9318,1300000000;FALSE;1,86362600000000e+03
2019;AC;32116;Lapidação de gemas e fabricação de artefatos de ourivesaria e joalheria;tratado_nucleo;TRUE;0;0,0000000000;FALSE;NA
2019;AC;32400;Fabricação de brinquedos e jogos recreativos;tratado_nucleo;TRUE;0;0,0000000000;FALSE;NA
